product_id,product_name,category,price,description,image_url,product_url,gender,rating
101,CUT-OUT SWIMSUIT,ACCESSORIES_JEWELLERY,3290.0,V-neck swimsuit with straps. Featuring an adjustable slit and tie detail on the front.,https://static.zara.net/photos///2023/I/0/1/p/0167/224/610/2/w/448/0167224610_1_1_1.jpg?ts=1685607448224,https://www.zara.com/in/en/cut-out-swimsuit-p00167224.html,Women,3.5
102,BEADED NECKLACE,ACCESSORIES_JEWELLERY,1990.0,Long necklace with bead appliqués and teardrop pendants.,https://static.zara.net/photos///2023/I/0/1/p/4736/237/712/22/w/448/4736237712_1_1_1.jpg?ts=1691048936986,https://www.zara.com/in/en/beaded-necklace-p04736237.html,Women,3.9
103,PACK OF BANGLES,ACCESSORIES_JEWELLERY,1890.0,Pack of two metal bangles.,https://static.zara.net/photos///2023/I/0/1/p/4736/225/303/22/w/448/4736225303_1_1_1.jpg?ts=1691048992652,https://www.zara.com/in/en/pack-of-bangles-p04736225.html,Women,3.9
104,FAN EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Raised metal earrings. Push-back closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/290/303/22/w/448/1856290303_1_1_1.jpg?ts=1691049841398,https://www.zara.com/in/en/fan-earrings-p01856290.html,Women,3.7
105,RESIN PLAQUE EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Metal earrings with a coloured resin plaque. Push-back and clip closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/316/712/22/w/448/1856316712_1_1_1.jpg?ts=1691049861260,https://www.zara.com/in/en/resin-plaque-earrings-p01856316.html,Women,4.0
106,CONTRASTING EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Contrast oval earrings. Push-back and clip closure.,https://static.zara.net/photos///2023/I/0/1/p/4736/239/303/22/w/448/4736239303_1_1_1.jpg?ts=1691049890767,https://www.zara.com/in/en/contrasting-earrings-p04736239.html,Women,4.3
107,METAL FLOWER EARRINGS,ACCESSORIES_JEWELLERY,1890.0,Textured and floral-shaped metal dangle earrings. Push-back and clip closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/219/303/2/w/448/1856219303_1_1_1.jpg?ts=1688722785869,https://www.zara.com/in/en/metal-flower-earrings-p01856219.html,Women,4.9
108,LINEN BLEND SCARF,ACCESSORIES_JEWELLERY,2290.0,Scarf made of a linen blend with frayed edges.Measurements: 195 x 105 cm / 76.7 x 41.3″,https://static.zara.net/photos///2023/I/0/1/p/0653/267/712/2/w/448/0653267712_1_1_1.jpg?ts=1688722784725,https://www.zara.com/in/en/linen-blend-scarf-p00653267.html,Women,4.2
109,METAL FLOWER EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Textured and floral-shaped metal earrings. Push-back and clip closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/239/303/2/w/448/1856239303_1_1_1.jpg?ts=1688722784965,https://www.zara.com/in/en/metal-flower-earrings-p01856239.html,Women,4.2
110,PRINTED SATIN SCARF,ACCESSORIES_JEWELLERY,990.0,Printed satin scarf.Measurements: 70 x 70 cm / 27.5 x 27.5″,https://static.zara.net/photos///2023/I/0/1/p/4758/012/615/2/w/448/4758012615_1_1_1.jpg?ts=1688722785806,https://www.zara.com/in/en/printed-satin-scarf-p04758012.html,Women,4.1
